"study_id","pair_id","listener_id","rating","playback_device","listening_environment","original_available","replays","notes","rated_at_utc"
"20260729_142717","P009","Alex Bryant","undetectable_without_original","Wireless Headphones","Home Office","true","3","The steggo file just has a different noise profile so without the original you really can't tell anything is off.","2026-07-29T19:30:47.604Z"
"20260729_142717","P021","Alex Bryant","undetectable_without_original","Wireless Headphones","Home Office","true","3","No notes you cannot tell even with the original there is a difference here.","2026-07-29T19:31:41.665Z"
"20260729_142717","P001","Alex Bryant","undetectable_without_original","Wireless Headphones","Home Office","true","3","Same as before no audible difference.","2026-07-29T19:33:20.245Z"
"20260729_142717","P018","Alex Bryant","undetectable_without_original","Wireless Headphones","Home Office","true","3","There is some difference in the noise profile overall but once again without the original most couldn't tell something is off.","2026-07-29T19:34:27.769Z"
"20260729_142717","P010","Alex Bryant","undetectable_without_original","Wireless Headphones","Home Office","true","3","Another ordeal where the audio sounds normal in its context you cannot tell the difference without both files.","2026-07-29T19:35:06.239Z"
"20260729_142717","P012","Alex Bryant","undetectable_without_original","Wireless Headphones","Home Office","true","3","Same ordeal where you really cant tell the difference in the noise unless you compare both files.","2026-07-29T19:35:54.998Z"
"20260729_142717","P014","Alex Bryant","apparent_close_listening","Wireless Headphones","Home Office","true","3","The ring on the steggo file here does sound off but again without context would the listener be able to hear something was off?","2026-07-29T19:36:49.377Z"
"20260729_142717","P004","Alex Bryant","undetectable_without_original","Wireless Headphones","Home Office","true","3","Same as before no audible difference.","2026-07-29T19:37:49.998Z"
"20260729_142717","P024","Alex Bryant","undetectable_without_original","Wireless Headphones","Home Office","true","0","Same as before no audible difference.","2026-07-29T19:38:04.220Z"
"20260729_142717","P005","Alex Bryant","undetectable_without_original","Wireless Headphones","Home Office","true","0","Same as before no audible difference.","2026-07-29T19:38:18.049Z"
"20260729_142717","P016","Alex Bryant","apparent_close_listening","Wireless Headphones","Home Office","true","0","Same as before the ring sounds off but I don't know if anyone would think that is suspicious without comparing it to the original.","2026-07-29T19:39:41.956Z"
"20260729_142717","P019","Alex Bryant","undetectable_without_original","Wireless Headphones","Home Office","true","0","No audible difference.","2026-07-29T19:39:52.627Z"
"20260729_142717","P017","Alex Bryant","apparent_close_listening","Wireless Headphones","Home Office","true","0","There is an audible difference in the ring but again not sure if anyone would be able to tell the difference without the original to compare to.","2026-07-29T19:40:35.607Z"
"20260729_142717","P006","Alex Bryant","undetectable_without_original","Wireless Headphones","Home Office","true","0","No audible difference.","2026-07-29T19:40:40.652Z"
"20260729_142717","P007","Alex Bryant","undetectable_without_original","Wireless Headphones","Home Office","true","0","No audible difference.","2026-07-29T19:40:55.405Z"
"20260729_142717","P008","Alex Bryant","undetectable_without_original","Wireless Headphones","Home Office","true","0","No audible difference.","2026-07-29T19:41:06.487Z"
"20260729_142717","P022","Alex Bryant","undetectable_without_original","Wireless Headphones","Home Office","true","0","No audible difference.","2026-07-29T19:41:13.620Z"
"20260729_142717","P011","Alex Bryant","undetectable_without_original","Wireless Headphones","Home Office","true","0","No audible difference.","2026-07-29T19:41:21.447Z"
"20260729_142717","P023","Alex Bryant","undetectable_without_original","Wireless Headphones","Home Office","true","0","No audible difference.","2026-07-29T19:41:31.641Z"
"20260729_142717","P015","Alex Bryant","apparent_close_listening","Wireless Headphones","Home Office","true","0","The ring on these files is still different noticeably but singled out I doubt anyone could tell.","2026-07-29T19:42:03.738Z"
"20260729_142717","P003","Alex Bryant","undetectable_without_original","Wireless Headphones","Home Office","true","0","No audible difference.","2026-07-29T19:42:10.925Z"
"20260729_142717","P013","Alex Bryant","undetectable_without_original","Wireless Headphones","Home Office","true","0","No audible difference.","2026-07-29T19:42:23.354Z"
"20260729_142717","P002","Alex Bryant","undetectable_without_original","Wireless Headphones","Home Office","true","0","No audible difference.","2026-07-29T19:42:35.102Z"
"20260729_142717","P020","Alex Bryant","undetectable_without_original","Wireless Headphones","Home Office","true","0","No audible difference.","2026-07-29T19:42:42.951Z"
