"relative_path","file_size_bytes","riff_declared_file_bytes","format_tag_hex","format_name","subformat_guid","channels","sample_rate_hz","bits_per_sample","valid_bits_per_sample","block_align","average_bytes_per_second","data_bytes","frame_count","duration_seconds","frames_per_logical_bit","header_logical_bits","logical_capacity_bits","payload_capacity_bytes","expected_program_result","parse_status","notes"
"TestData\01_silence_5s_mono_16bit_44100.wav","441044","441044","0x0001","PCM","","1","44100","16","16","2","88200","441000","220500","5.000000","14336","64","15","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\02_tone_440Hz_5s_mono_16bit_44100.wav","441044","441044","0x0001","PCM","","1","44100","16","16","2","88200","441000","220500","5.000000","14336","64","15","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\03_chirp_200-4000Hz_5s_mono_16bit_44100.wav","441044","441044","0x0001","PCM","","1","44100","16","16","2","88200","441000","220500","5.000000","14336","64","15","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\04_noise_5s_mono_16bit_44100.wav","441044","441044","0x0001","PCM","","1","44100","16","16","2","88200","441000","220500","5.000000","14336","64","15","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\05_stereo_tones_5s_16bit_44100.wav","882044","882044","0x0001","PCM","","2","44100","16","16","4","176400","882000","220500","5.000000","14336","64","15","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\06_tone_440Hz_5s_mono_8bit_22050.wav","110294","110294","0x0001","PCM","","1","22050","8","8","1","22050","110250","110250","5.000000","14336","64","7","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\07_tone_440Hz_5s_mono_24bit_48000.wav","720044","720044","0x0001","PCM","","1","48000","24","24","3","144000","720000",,"","14336","64",,,"REJECT_UNSUPPORTED_BIT_DEPTH","OK",""
"TestData\audiocheck.net_hdchirp_176k_-3dBFS_lin.wav","176446","176446","0x0001","PCM","","1","176400","16","16","2","352800","176402","88201","0.500006","14336","64","6","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\audiocheck.net_hdchirp_192k_-3dBFS_lin.wav","192046","192046","0x0001","PCM","","1","192000","16","16","2","384000","192002","96001","0.500005","14336","64","6","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\audiocheck.net_hdchirp_96k_-3dBFS_lin.wav","96046","96046","0x0001","PCM","","1","96000","16","16","2","192000","96002","48001","0.500010","14336","64","3","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\audiocheck.net_hdsweep_1Hz_44000Hz_-3dBFS_30s.wav","5292046","5292046","0x0001","PCM","","1","88200","16","16","2","176400","5292002","2646001","30.000011","14336","64","184","15","SUPPORTED","OK",""
"TestData\audiocheck.net_hdsweep_1Hz_48000Hz_-3dBFS_30s.wav","5760046","5760046","0x0001","PCM","","1","96000","16","16","2","192000","5760002","2880001","30.000010","14336","64","200","17","SUPPORTED","OK",""
"TestData\audiocheck.net_pinknoise.wav","886994","886994","0x0001","PCM","","1","44100","16","16","2","88200","882002","441001","10.000023","14336","64","30","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\audiocheck.net_whitenoise.wav","882048","882048","0x0001","PCM","","1","44100","16","16","2","88200","882002","441001","10.000023","14336","64","30","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\Corpus\music_blues_16bit_mono.wav","7938078","7938078","0x0001","PCM","","1","44100","16","16","2","88200","7938000","3969000","90.000000","14336","64","276","26","SUPPORTED","OK",""
"TestData\Corpus\music_blues_16bit_stereo.wav","26892366","26892366","0x0001","PCM","","2","44100","16","16","4","176400","26892288","6723072","152.450612","14336","64","468","50","SUPPORTED","OK",""
"TestData\Corpus\music_rock_16bit_stereo.wav","7641726","7641726","0x0001","PCM","","2","44100","16","16","4","176400","7641648","1910412","43.320000","14336","64","133","8","SUPPORTED","OK",""
"TestData\Corpus\near_silence_16bit_mono.wav","7938044","7938044","0x0001","PCM","","1","44100","16","16","2","88200","7938000","3969000","90.000000","14336","64","276","26","SUPPORTED","OK",""
"TestData\Corpus\near_silence_16bit_stereo.wav","15876044","15876044","0x0001","PCM","","2","44100","16","16","4","176400","15876000","3969000","90.000000","14336","64","276","26","SUPPORTED","OK",""
"TestData\Corpus\sparse_quiet_16bit_mono.wav","7938044","7938044","0x0001","PCM","","1","44100","16","16","2","88200","7938000","3969000","90.000000","14336","64","276","26","SUPPORTED","OK",""
"TestData\Corpus\sparse_quiet_16bit_stereo.wav","15876044","15876044","0x0001","PCM","","2","44100","16","16","4","176400","15876000","3969000","90.000000","14336","64","276","26","SUPPORTED","OK",""
"TestData\Corpus\speech_8bit_mono.wav","11593956","11593956","0x0001","PCM","","1","44100","8","8","1","44100","11593728","11593728","262.896327","14336","64","808","93","SUPPORTED","OK",""
"TestData\sample-12s.wav","2254892","2254892","0x0001","PCM","","2","44100","16","16","4","176400","2254848","563712","12.782585","14336","64","39","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\sample-15s.wav","3382316","3382316","0x0001","PCM","","2","44100","16","16","4","176400","3382272","845568","19.173878","14336","64","58","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\sample-3s-16khz.wav","96044","96044","0x0001","PCM","","1","16000","16","16","2","32000","96000","48000","3.000000","14336","64","3","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\sample-3s-48khz.wav","288044","288044","0x0001","PCM","","1","48000","16","16","2","96000","288000","144000","3.000000","14336","64","10","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\sample-3s-96khz.wav","576044","576044","0x0001","PCM","","1","96000","16","16","2","192000","576000","288000","3.000000","14336","64","20","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\sample-3s-stereo.wav","529244","529244","0x0001","PCM","","2","44100","16","16","4","176400","529200","132300","3.000000","14336","64","9","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\wavs_main_Massey\car-horn.wav","565816","565816","0x0001","PCM","","1","48000","16","16","2","96000","565592","282796","5.891583","14336","64","19","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\wavs_main_Massey\collectathon.wav","15000492","15000492","0x0001","PCM","","2","44100","16","16","4","176400","15000448","3750112","85.036553","14336","64","261","24","SUPPORTED","OK",""
"TestData\wavs_main_Massey\echomorph-hpf.wav","1345184","1345184","0x0001","PCM","","1","48000","16","16","2","96000","1345140","672570","14.011875","14336","64","46","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\wavs_main_Massey\echomorph-nohpf.wav","1345184","1345184","0x0001","PCM","","1","48000","16","16","2","96000","1345140","672570","14.011875","14336","64","46","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\wavs_main_Massey\fifths.wav","96044","96044","0x0001","PCM","","1","48000","16","16","2","96000","96000","48000","1.000000","14336","64","3","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\wavs_main_Massey\gc.wav","2497110","2497110","0x0001","PCM","","1","48000","16","16","2","96000","2497066","1248533","26.011104","14336","64","87","2","SUPPORTED","OK",""
"TestData\wavs_main_Massey\hindrance-of-a-fish.wav","15611444","15611444","0x0001","PCM","","2","44100","16","16","4","176400","15611400","3902850","88.500000","14336","64","272","26","SUPPORTED","OK",""
"TestData\wavs_main_Massey\noise.wav","2880044","2880044","0x0001","PCM","","1","48000","16","16","2","96000","2880000","1440000","30.000000","14336","64","100","4","SUPPORTED","OK",""
"TestData\wavs_main_Massey\overdrive.wav","96044","96044","0x0001","PCM","","1","48000","16","16","2","96000","96000","48000","1.000000","14336","64","3","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\wavs_main_Massey\sine.wav","96044","96044","0x0001","PCM","","1","48000","16","16","2","96000","96000","48000","1.000000","14336","64","3","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\wavs_main_Massey\synth.wav","1013302","1013302","0x0001","PCM","","1","48000","16","16","2","96000","1013132","506566","10.553458","14336","64","35","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\wavs_main_Massey\voice.wav","475180","475180","0x0001","PCM","","1","48000","16","16","2","96000","475136","237568","4.949333","14336","64","16","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
"TestData\wavs_main_Massey\voice-note.wav","134558","134558","0x0001","PCM","","1","48000","16","16","2","96000","134514","67257","1.401188","14336","64","4","0","SUPPORTED_NO_PAYLOAD_CAPACITY","OK",""
